curah_hujan_DK,curah_hujan_BS,debit_sungai_m3_per_detik,tinggi_muka_air_m,Banjir
0.0,13.5,159.12,4.91,0
14.0,0.0,143.79,4.75,0
0.0,0.0,108.71,4.38,0
0.0,1.0,99.06,4.28,0
1.5,0.0,102.33,4.31,0
0.0,0.0,81.64,4.05,0
0.0,8.0,77.16,4.0,0
38.5,1.5,159.64,4.95,0
1.5,61.0,184.29,5.18,0
34.5,5.5,291.14,6.04,0
8.5,4.0,253.06,5.74,0
3.5,0.0,236.67,5.61,0
0.0,16.5,163.08,4.98,0
28.0,17.5,224.48,5.54,1
14.5,0.0,255.88,5.79,0
7.75,0.3333333333333333,199.67,5.32,0
1.0,0.6666666666666666,168.93,5.05,0
1.0,1.0,136.87,4.74,0
2.0,7.0,119.87,4.57,0
0.0,13.0,165.19,5.02,0
42.0,11.0,209.19,5.42,1
5.0,37.0,228.02,5.59,0
17.5,7.0,300.76,6.15,0
11.0,4.0,282.0,6.0,0
4.5,3.0,232.24,5.62,0
6.0,12.5,220.74,5.54,0
12.0,22.0,230.27,5.62,1
18.5,45.0,252.28,5.78,1
53.0,5.0,333.11,6.39,0
6.0,1.0,422.38,6.94,0
0.0,59.0,290.21,6.07,0
49.0,33.5,381.24,6.71,1
0.0,8.0,296.68,6.08,0
0.0,3.0,233.33,5.68,0
7.5,13.0,239.85,5.73,0
0.0,12.0,199.27,5.39,0
0.0,36.5,172.47,5.16,0
0.0,61.0,172.33,5.15,0
19.5,7.0,221.91,5.59,0
4.5,9.0,220.23,5.59,0
1.0,11.0,196.74,5.39,0
1.5,9.666666666666666,253.88,5.87,0
0.5,8.333333333333334,217.09,5.57,0
11.5,7.0,216.39,5.57,0
16.0,0.0,287.37,6.13,0
13.0,12.0,336.54,6.46,1
0.0,23.25,264.48,5.95,0
25.0,34.5,201.16,5.45,1
19.5,11.0,235.43,5.75,1
10.5,27.0,269.58,6.0,1
37.5,30.5,246.76,5.82,1
0.0,34.0,211.63,5.55,0
41.0,16.0,307.66,6.29,1
48.5,3.0,226.38,5.67,0
3.0,30.0,211.06,5.54,0
35.0,15.0,196.01,5.43,1
15.0,27.5,241.93,5.82,1
0.0,40.0,182.26,5.32,0
30.5,6.0,239.86,5.81,0
16.0,64.0,354.41,6.64,1
52.0,19.0,373.54,6.75,1
0.0,39.5,314.8,6.35,0
5.0,47.0,237.49,5.79,0
0.0,19.0,180.85,5.33,0
14.5,39.5,188.03,5.4,1
46.0,47.0,206.48,5.54,1
8.5,24.0,274.86,6.12,0
7.5,1.0,218.99,5.64,0
0.0,9.666666666666666,139.66,4.94,0
0.0,18.333333333333332,115.95,4.69,0
0.0,27.0,78.32,4.22,0
7.0,35.666666666666664,125.69,4.82,0
0.0,44.33333333333333,130.51,4.86,0
10.0,53.0,189.97,5.45,0
27.5,12.5,297.58,6.3,1
1.0,12.0,244.4,5.89,0
10.0,4.0,192.2,5.47,0
1.5,0.0,143.13,5.01,0
0.0,2.0,121.27,4.79,0
7.5,0.5,176.86,5.36,0
1.5,17.5,132.75,4.92,0
59.5,29.5,139.66,4.99,1
40.5,0.0,124.56,4.83,0
0.0,19.5,136.7,4.97,0
16.0,0.0,150.09,5.11,0
0.0,22.0,171.57,5.32,0
8.5,0.0,276.25,6.18,0
11.5,4.5,165.57,5.26,0
0.0,12.5,158.29,5.17,0
14.0,9.0,128.59,4.91,0
1.0,0.0,83.13,4.37,0
0.0,0.0,80.63,4.34,0
14.0,28.0,99.08,4.59,0
13.5,0.0,122.26,4.84,0
14.5,26.0,279.2,6.24,1
0.0,0.0,142.36,5.04,0
0.0,8.5,95.92,4.55,0
0.0,11.0,135.15,5.01,0
3.0,1.5,198.14,5.59,0
1.0,3.0,276.6,6.25,0
0.5,13.0,241.96,5.95,0
5.0,1.5,175.19,5.4,0
4.5,0.0,126.73,4.93,0
0.0,0.0,93.44,4.54,0
0.0,0.0,79.49,4.37,0
0.0,3.0,86.02,4.46,0
6.5,18.0,108.79,4.75,0
18.0,0.0,105.2,4.7,0
9.5,2.0,73.78,4.3,0
1.0,3.0,79.08,4.39,0
24.0,7.0,101.42,4.68,0
0.5,2.5,92.81,4.57,0
2.0,1.5,86.06,4.49,0
3.5,7.5,70.13,4.27,0
5.0,50.5,95.53,4.6,0
61.5,1.5,335.34,6.72,0
46.5,0.0,223.16,5.84,0
31.5,2.0,128.77,4.99,0
16.5,0.0,92.0,4.58,0
1.5,13.5,77.05,4.39,0
12.5,0.0,71.02,4.31,0
18.0,0.0,67.66,4.26,0
23.5,0.0,72.93,4.34,0
16.0,0.0,62.26,4.19,0
8.5,0.5,54.48,4.07,0
1.0,13.0,86.13,4.53,0
3.0,0.0,88.94,4.57,0
1.0,0.0,73.27,4.36,0
2.4,1.4,87.32,4.56,0
3.5,0.0,86.14,4.55,0
2.5,1.0,65.18,4.25,0
6.5,0.0,51.24,4.04,0
9.583333333333334,0.0,41.67,3.87,0
12.666666666666668,0.25,40.54,3.86,0
15.75,0.5,36.93,3.79,0
18.833333333333336,0.0,39.11,3.84,0
21.916666666666668,0.0,45.4,3.94,0
25.0,20.5,159.18,5.4,1
13.0,16.0,106.72,4.81,1
11.0,25.5,159.02,5.38,1
20.75,35.0,131.31,5.1,1
30.5,5.0,123.98,5.02,0
29.25,13.571428571428571,59.7,4.2,0
28.0,22.142857142857142,51.29,4.08,0
23.4,30.714285714285715,44.33,3.96,0
18.8,39.285714285714285,40.61,3.9,0
14.200000000000001,47.85714285714286,29.54,3.67,0
9.600000000000001,56.42857142857143,33.4,3.76,0
5.0,65.0,75.87,4.48,0
49.0,4.5,142.42,5.27,0
1.0,11.5,111.61,4.93,0
9.5,18.5,74.34,4.44,0
15.666666666666668,22.25,48.83,4.07,0
21.833333333333336,26.0,61.58,4.28,0
28.0,17.0,148.06,5.34,1
15.75,12.333333333333332,94.01,4.72,0
3.5,7.666666666666666,66.39,4.36,0
8.5,3.0,81.64,4.59,0
11.5,25.0,70.45,4.42,0
14.5,14.5,122.08,5.09,1
8.25,4.0,121.17,5.07,0
2.0,13.916666666666668,138.23,5.25,0
2.0416666666666665,23.833333333333336,79.12,4.56,0
2.0833333333333335,33.75,62.4,4.33,0
2.125,43.66666666666667,43.28,4.01,0
2.1666666666666665,53.583333333333336,39.16,3.94,0
2.2083333333333335,63.5,32.86,3.75,0
2.25,59.07142857142857,32.11,3.81,0
2.2916666666666665,54.64285714285714,28.25,3.72,0
2.3333333333333335,50.214285714285715,27.89,3.72,0
2.375,45.785714285714285,25.06,3.65,0
2.4166666666666665,41.35714285714286,21.8,3.57,0
2.4583333333333335,36.92857142857143,18.66,3.49,0
2.5,32.5,18.32,3.49,0
2.5416666666666665,28.07142857142857,17.35,3.46,0
2.583333333333333,23.64285714285714,15.73,3.42,0
2.625,19.214285714285715,20.21,3.55,0
2.6666666666666665,14.785714285714285,18.21,3.5,0
2.708333333333333,10.357142857142854,18.71,3.51,0
2.75,5.9285714285714235,16.18,3.44,0
2.7916666666666665,1.5,14.07,3.38,0
2.833333333333333,5.0,23.98,3.65,0
2.875,4.625,40.45,4.03,0
2.9166666666666665,4.25,28.72,3.78,0
2.958333333333333,3.875,38.56,3.97,0
3.0,3.5,38.57,3.98,0
4.5,4.142857142857142,39.16,4.0,0
6.071428571428571,4.785714285714286,24.99,3.69,0
7.642857142857142,5.428571428571429,20.21,3.57,0
9.214285714285714,6.071428571428571,16.71,3.47,0
10.785714285714285,6.7142857142857135,14.57,3.41,0
12.357142857142858,7.357142857142857,13.57,3.38,0
13.928571428571427,8.0,13.91,3.39,0
15.5,6.0,16.48,3.47,0
0.5,4.0,19.73,3.55,0
4.625,2.0,52.38,4.24,0
8.75,2.5,41.87,4.05,0
12.875,3.0,45.31,4.11,0
17.0,3.5,85.48,4.73,0
2.0,4.0,58.7,4.32,0
4.666666666666666,4.5,32.75,3.87,0
7.333333333333333,5.0,23.09,3.64,0
10.0,5.5,26.17,3.71,0
16.5,3.0,64.18,4.43,0
7.0,19.5,40.02,4.0,0
0.5,36.0,26.42,3.72,0
47.0,4.0,43.05,4.07,0
2.0,2.5,34.63,3.91,0
1.0,1.0,22.32,3.62,0
0.75,3.0,23.64,3.66,0
0.5,5.0,25.09,3.69,0
67.0,8.5,33.77,3.89,0
37.0,11.166666666666666,25.26,3.69,0
28.333333333333336,13.833333333333332,20.13,3.55,0
19.666666666666668,16.5,68.21,4.47,0
11.0,43.0,43.2,4.05,0
47.0,33.5,235.86,6.23,1
44.75,24.0,145.53,5.36,1
42.5,18.333333333333332,133.82,5.29,1
7.5,12.666666666666666,191.16,5.85,0
42.5,7.0,240.66,6.24,0
33.833333333333336,5.75,120.91,5.12,0
25.166666666666668,4.5,104.23,4.95,0
16.5,3.2500000000000004,204.82,5.97,0
14.0,2.0,149.39,5.4,0
2.0,4.0,113.11,5.06,0
15.5,10.0,83.57,4.69,0
29.0,8.25,157.53,5.54,0
1.5,6.5,99.72,4.89,0
6.5,8.0,85.71,4.72,0
11.5,1.0,95.11,4.84,0
1.0,28.0,111.79,5.02,0
52.5,65.0,218.45,6.07,1
5.0,4.0,144.42,5.39,0
3.5,8.5,139.64,5.35,0
3.0,3.5,134.06,5.29,0
4.333333333333333,5.5,113.24,5.05,0
5.666666666666666,7.5,72.54,4.54,0
7.0,28.0,94.87,4.84,0
24.5,6.0,184.67,5.79,0
4.0,4.0,124.71,5.17,0
7.7,2.0,93.15,4.82,0
11.4,2.0,77.51,4.62,0
15.100000000000001,2.0,66.13,4.45,0
18.8,16.0,98.38,4.9,0
22.5,8.75,76.86,4.6,0
14.25,1.5,57.27,4.31,0
6.0,3.75,45.93,4.13,0
10.5,6.0,41.27,4.04,0
15.0,3.0,63.04,4.42,0
1.5,14.000000000000002,72.7,4.55,0
22.5,25.0,66.96,4.46,0
9.0,8.0,97.37,4.88,0
23.5,13.5,102.22,4.93,1
14.0,31.0,122.08,5.16,1
20.0,29.0,203.99,5.96,1
29.0,10.0,194.53,5.86,0
11.5,27.0,232.37,6.19,1
27.0,36.5,294.68,6.65,1
9.5,46.0,318.96,6.82,0
0.5,25.0,268.4,6.45,0
38.5,4.0,297.17,6.66,0
0.5,15.5,256.82,6.37,0
40.5,52.0,251.59,6.33,1
73.0,1.5,203.8,5.92,0
1.5,2.25,135.84,5.3,0
2.5,3.0,114.23,5.07,0
3.5,3.75,98.41,4.88,0
4.5,4.5,97.36,4.87,0
